Tỉnh Cũ,Huyện Cũ,Xã Cũ,Tỉnh Mới,Huyện Mới,Xã Mới,Nghị Quyết,Ngày Hiệu Lực
Hà Nội,Ba Đình,Phúc Xá,Hà Nội,,Phường Hồng Hà,,
Hà Nội,Ba Đình,Trúc Bạch,Hà Nội,,Phường Ba Đình,,
Hà Nội,Ba Đình,Vĩnh Phúc,Hà Nội,,Phường Vĩnh Phúc,,
Hà Nội,Ba Đình,Cống Vị,Hà Nội,,Phường Ngọc Hà,,
Hà Nội,Ba Đình,Liễu Giai,Hà Nội,,Phường Ngọc Hà,,
Hà Nội,Ba Đình,Quán Thánh,Hà Nội,,Phường Ba Đình,,
Hà Nội,Ba Đình,Ngọc Hà,Hà Nội,,Phường Ngọc Hà,,
Hà Nội,Ba Đình,Điện Biên,Hà Nội,,Phường Điện Biên Phủ,,
Hà Nội,Ba Đình,Đội Cấn,Hà Nội,,#N/A,,
Hà Nội,Ba Đình,Ngọc Khánh,Hà Nội,,#N/A,,
Hà Nội,Ba Đình,Kim Mã,Hà Nội,,#N/A,,
Hà Nội,Ba Đình,Giảng Võ,Hà Nội,,Phường Giảng Võ,,
Hà Nội,Ba Đình,Thành Công,Hà Nội,,Xã Thành Công,,
Hà Nội,Hoàn Kiếm,Phúc Tân,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Đồng Xuân,Hà Nội,,Xã Đồng Xuân,,
Hà Nội,Hoàn Kiếm,Hàng Mã,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Buồm,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Đào,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Bồ,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Cửa Đông,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Lý Thái Tổ,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Bạc,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Gai,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Chương Dương,Hà Nội,,Xã Chương Dương,,
Hà Nội,Hoàn Kiếm,Hàng Trống,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Cửa Nam,Hà Nội,,Phường Cửa Nam,,
Hà Nội,Hoàn Kiếm,Hàng Bông,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Tràng Tiền,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Trần Hưng Đạo,Hà Nội,,Xã Trần Hưng Đạo,,
Hà Nội,Hoàn Kiếm,Phan Chu Trinh,Hà Nội,,#N/A,,
Hà Nội,Hoàn Kiếm,Hàng Bài,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Phú Thượng,Hà Nội,,Phường Phú Thượng,,
Hà Nội,Tây Hồ,Nhật Tân,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Tứ Liên,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Quảng An,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Xuân La,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Yên Phụ,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Bưởi,Hà Nội,,#N/A,,
Hà Nội,Tây Hồ,Thụy Khuê,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Thượng Thanh,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Ngọc Thụy,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Giang Biên,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Đức Giang,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Việt Hưng,Hà Nội,,Phường Việt Hưng,,
Hà Nội,Long Biên,Gia Thụy,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Ngọc Lâm,Hà Nội,,Xã Ngọc Lâm,,
Hà Nội,Long Biên,Phúc Lợi,Hà Nội,,Phường Phúc Lợi,,
Hà Nội,Long Biên,Bồ Đề,Hà Nội,,Phường Bồ Đề,,
Hà Nội,Long Biên,Sài Đồng,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Long Biên,Hà Nội,,Phường Long Biên,,
Hà Nội,Long Biên,Thạch Bàn,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Phúc Đồng,Hà Nội,,#N/A,,
Hà Nội,Long Biên,Cự Khối,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Nghĩa Đô,Hà Nội,,Phường Nghĩa Đô,,
Hà Nội,Cầu Giấy,Nghĩa Tân,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Mai Dịch,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Dịch Vọng,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Quan Hoa,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Yên Hoà,Hà Nội,,#N/A,,
Hà Nội,Cầu Giấy,Trung Hoà,Hà Nội,,#N/A,,
Hà Nội,Đống Đa,Cát Linh,Hà Nội,,#N/A,,
